environment_steps,update,learning_rate,mean_recent_return,policy_loss,value_loss,entropy,jis,alpha_is,ratio_mean,ratio_std,dimension_clipped_fraction,actor_grad_norm,critic_grad_norm,accepted_old_batches,total_training_batches,effective_minibatch_size,mean_replay_score,max_replay_score
2048,1,0.0003,-54.3418993624346,-0.028844797316924086,0.31032295641489327,11.343562158942223,0.010806574764728856,2.0,1.000382867641747,0.04747149496900978,0.00533447265625,0.9763062851503491,0.07685071801097365,0,1,64,nan,nan
4096,2,0.00027,-169.21069714540877,-0.029471363504126203,0.024728162394603716,11.279136729240417,0.005183307437417329,4.0,1.0005519798025488,0.06265786244766787,0.011553955078125,0.9964411564171314,0.03302552899112925,1,2,128,1.0482358932495117,1.0482358932495117
6144,3,0.00023999999999999998,-51.42893918271832,-0.03311395384298521,0.019390624677180314,11.221751075983047,0.0012389335865258591,8.0,1.000721760466695,0.062426103360485284,0.013073730434553,0.8393201757222414,0.033489077945705506,2,3,192,1.0424265265464783,1.0552705526351929
8192,4,0.00020999999999999998,-68.30574103148452,-0.031928042368235765,0.01844990540994331,11.194452980160714,0.0005577046743660819,16.0,1.0007499085739255,0.061930897063575685,0.013360595703125,0.8543652970343828,0.031560685206204656,3,4,256,1.0394240220387776,1.0629198551177979
10240,5,0.00017999999999999998,-46.24593790100106,-0.030959984422224807,0.02133496492751874,11.184273800253868,0.00016410408708229693,32.0,1.0003616044297814,0.05981941908830777,0.012564697273774073,0.787633659504354,0.032064730260754,4,5,320,1.0356288850307465,1.065266489982605
12288,6,0.00015,-63.416592654331154,-0.024179716863727663,0.02387696346268058,11.181497183442115,0.0001663580998554245,64.0,1.0001433113589884,0.05750283686211333,0.011579386380617507,1.409189293999225,0.03356343464693055,5,6,384,1.0332285404205321,1.0675199031829834
14336,7,0.00011999999999999999,-36.10376265354098,-0.02029396460420685,0.025469934847205878,11.178174704313278,8.882199253405377e-05,64.0,1.0001322915777564,0.053883023851085454,0.010185895628819708,1.9822937110438943,0.033484721306012946,6,7,448,1.0291999578475952,1.0683844089508057
16384,8,0.0001,-35.021570549465494,-0.02050229964806931,0.02775672047282569,11.176859655976296,4.911314724993206e-05,32.0,1.0000952368602156,0.051073343958705664,0.00909423828125,1.4463853060267866,0.03489832337363623,7,8,512,1.0262382881981986,1.0688185691833496
18432,9,0.0001,-158.13986027008062,-0.020273533405634224,0.02813899691682309,11.173281800746917,6.397535684605059e-05,16.0,1.0000834399834275,0.04888810606207698,0.008132595496135764,0.91772243026644,0.03513706945814192,8,9,576,1.0239623934030533,1.0692111253738403
20480,10,0.0001,-146.90560198291715,-0.021840360410897118,0.026291581097757442,11.166624262928963,8.382604547340555e-05,16.0,1.0001256914809347,0.04895297033945099,0.007965087883349042,0.5821806480176747,0.03424124323646538,9,10,640,1.0236498249901667,1.0705199241638184
